PD-L1 (CD274),Seq_ID: v2a_Hs_0004
CD161,Seq_ID: v2a_Hs_0002
CD194,Seq_ID: v2a_Hs_0038
CD196 (CCR6),Seq_ID: v2a_Hs_0034
CD197 (CCR7),Seq_ID: v2a_Hs_0007
CD275 (B7-H2),Seq_ID: v2a_Hs_0011
CD3,Seq_ID: v2a_Hs_0033
CD4,Seq_ID: v2a_Hs_0032
CD45RO,Seq_ID: v2a_Hs_0036
CD10,Seq_ID: v2a_Hs_0051
CD103,Seq_ID: v2a_Hs_0001
CD11b (Mac-1),Seq_ID: v2a_Hs_0005
CD127,Seq_ID: v2a_Hs_0028
CD13,Seq_ID: v2a_Hs_0050
CD14,Seq_ID: v2a_Hs_0037
CD185 (CXCR5),Seq_ID: v2a_Hs_0039
CD19,Seq_ID: v2a_Hs_0030
CD20,Seq_ID: v2a_Hs_0008
CD24,Seq_ID: v2a_Hs_0042
CD25,Seq_ID: v2a_Hs_0026
CD27,Seq_ID: v2a_Hs_0025
CD28,Seq_ID: v2a_Hs_0024
CD33,Seq_ID: v2a_Hs_0044
CD34,Seq_ID: v2a_Hs_0013
CD38,Seq_ID: v2a_Hs_0022
CD45RA,Seq_ID: v2a_Hs_0029
CD5,Seq_ID: v2a_Hs_0047
CD56 (NCAM-1),Seq_ID: v2a_Hs_0019
CD7,Seq_ID: v2a_Hs_0043
CD8,Seq_ID: v2a_Hs_0027
CD80,Seq_ID: v2a_Hs_0046
CD86,Seq_ID: v2a_Hs_0057
CD90,Seq_ID: v2a_Hs_0045
ICOS (CD278),Seq_ID: v2a_Hs_0012
IgD,Seq_ID: v2a_Hs_0058
IgG,Seq_ID: v2a_Hs_0059
